Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Label,Timestamp
443,27385,7,43,2223,2595,98512,65,577.0395316524744,884.2569720954019,774.9488477030457,867.0118980899248,91.26009438230187,575.7250514131916,42.209190376229834,359.2682112183156,748.150955873958,544.9700314901617,176.79056596754683,697.0684880755754,288.5131065275188,850.3689536312767,539.3093734218459,354.61870195986245,867.331057606406,155.0289634229979,764.2947805428075,496.8928920779749,157.5006706886295,520.8448019499137,584.9268947233755,451.98824324305633,611.2285080318132,759.6870434045868,710.7753199069009,349.86250434338183,208.09604116919377,682.2790943589534,839.4088028159937,629.7927807166379,BENIGN,2025-12-07 16:30:41
21,24237,10,40,3020,1035,48248,21,21.56516210087378,648.4328120588015,795.8229987900205,391.8998382558354,306.97534692770864,856.8941414243412,480.5336700822277,287.6078791906825,455.7461104863325,147.68255133087004,518.1818373135823,555.7438168165799,354.8048352593975,953.7571498952328,86.85354825329772,749.8494089534224,990.66602019806,860.1758602929657,715.1872377422415,187.55143831811182,256.93799944364224,337.44022176083956,689.6556490313976,321.9604129846111,77.7597823429489,487.72301627424787,900.5881897372145,347.6509418454624,637.120048914115,372.42832715692265,11.108020125009554,922.2428367394263,BENIGN,2025-12-07 14:33:27
52677,4209,5,3,326,346,22442,82,35.453483077625194,419.9246542404641,750.7842607475503,77.71818664482954,553.1918276655011,244.56374383107794,16.913129728135743,95.99877892741327,584.3990009339705,881.1679455948544,905.1352387354984,789.9694389885417,924.9087387177342,528.8312847638683,202.1903241309576,249.43609838168624,329.6527195318279,274.5401531238365,899.2606977675593,937.2466111017433,805.2841951005314,557.7071903087143,421.346251285967,794.435821718706,365.0730012149237,294.76366391020747,603.5898288999726,204.09042045649494,882.0036088452688,373.43075934027604,173.40818496909193,231.68562461092935,PortScan,2025-12-07 14:43:03
443,6093,10,23,845,1840,42505,57,717.309812021675,865.9926279329513,171.80759589670436,607.3604044855073,378.997624060744,348.1680603383688,109.31176199670367,748.7206226865543,772.1214039999574,488.7588966152513,332.0760154021182,436.591426222937,357.4563339045742,212.36708074537424,195.30661659910277,834.4641794967446,251.81000212870063,744.3995365040674,176.11847291952222,997.1191415825906,255.2605468946939,256.98353639143335,871.0606052377611,276.9251956606876,402.9959696426634,328.9344665259436,940.2497006974833,99.36826602941117,852.2989890044933,132.10801794521876,259.92384907679997,702.0319629030745,BENIGN,2025-12-07 10:47:27
443,3979,1486,75,20374,4480,3159522,6094,665.7117502181181,243.8543690907763,107.3731783554972,642.8379836073105,911.8786724522199,530.3675082250794,594.2195442586099,37.001767588428876,685.8673745130226,34.146415149755136,827.8501138041139,71.64345327742416,8.4404437992176,358.11520223407445,788.4253152000849,645.1655148156339,165.55507461276375,899.774446188168,293.92030117911025,911.3310012534312,499.5040461847833,55.75132511342807,203.4808372307939,655.8378184644214,352.6947425941239,291.856156423621,875.8668509098602,418.0954900461279,109.5017581359039,264.8948905672789,835.7994881159825,492.9305997910213,DoS GoldenEye,2025-12-07 07:13:42
22,30388,28,22,2751,867,60969,21,399.15370181968603,353.70453001094836,336.38554475457425,504.172636021043,597.3437784415815,24.895771560076273,694.6059575788923,322.89844434904415,230.15523261890291,250.93667703470547,593.9336936669639,424.7400472285632,649.8378124668299,561.7125100969957,693.9416289838747,220.03735942069102,414.13973666384965,829.0488214026885,488.68147156515687,181.53855198724546,453.02950244808693,734.3415965205527,204.1498054165116,147.55883153893922,655.9721762300929,268.27801825007293,139.59456655363957,502.190325815838,908.0198620932746,674.4223989135817,358.2769074484936,67.40400242189826,BENIGN,2025-12-07 08:37:38
80,12940,22,6,659,4019,97800,30,918.6679266527274,238.9294774095886,383.06545300688856,327.13504251654734,994.1489244887144,641.2997811892233,677.2778864742714,334.94372262731184,965.1916449896327,610.7930268262704,109.93797726370147,627.9080019760887,921.5704011845486,771.2841804622421,243.27173367143317,34.22030851709823,256.0659903462673,663.1054524402971,246.5035813557336,352.57941518180013,446.82335131157237,389.1417438654582,231.67180245073226,664.3399442361929,268.9715102221373,705.4268458231473,761.7519582033633,389.46525074375336,818.5005240358894,699.3208240600443,701.8547374622768,4.598619555785555,BENIGN,2025-12-07 13:00:22
80,8031,203,93,167767,6570,4206082,3177,720.8623842103696,165.86667274610278,274.9994027819579,470.76263828216105,888.1358820279498,962.1667277095563,812.5197259360585,422.24913764574734,791.739475120825,300.1860804569711,355.7864044735358,931.4753037521748,739.2974687344719,826.3574198360496,212.6603766868691,345.1486998970104,469.0485432128555,917.3688365475132,26.043759045967896,487.40240566010664,178.82905404009475,281.32306658022253,716.8021547785877,730.8510827364545,393.7507183932271,122.79318376103699,528.9375287009171,143.00990784962565,313.2594152562822,709.7803963030194,705.6165689545004,556.9018509174705,DoS Hulk,2025-12-07 11:38:22
3306,33830,38,6,2717,469,14775,33,620.9879300576918,108.74084455028598,594.7321583036522,301.1064279835408,761.180384463647,383.7171239500025,973.2336879758287,209.97067559438233,752.8693978529359,560.0744455567128,713.0468519013699,925.7030191634996,538.5273091037467,635.3866055787079,566.57314034904,119.42172803978978,680.6435683281146,882.8174474528265,831.1072905649116,571.4676643003697,311.7811133941171,192.83405432645685,277.4566605945965,738.1975030602016,972.2968495303726,76.82347566390158,973.1906550600015,957.9849768344129,862.6661664171393,106.94823640935968,665.247041818609,831.6285062692111,BENIGN,2025-12-07 10:03:33
3306,17280,32,27,422,947,46969,94,528.3775919487349,125.44964922839618,175.83292988021714,424.6199964136248,477.3287923136442,292.04472418053774,702.2117642561911,959.966663237944,320.78478267904563,234.60791828694872,26.03330423550787,137.30595938839286,571.797245913959,142.82344508102807,381.6634449393428,327.04595478162736,208.5765897675046,86.38625649564734,373.6632243553624,130.16034185285042,91.08031522048744,687.9267407277406,698.3052594413598,68.96997370332714,515.5473619260052,191.66260282810254,471.7306934855361,310.7042315159423,91.83710223542585,802.187078123299,433.11586494938905,213.6999443309969,BENIGN,2025-12-06 21:34:25
