Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Label
6,5271779,3,1,0.0,0.0,6.0,0.0,4.0,3.4641016151377544,0.0,0.0,0.0,0.0,2.2762714446110124,0.7587571482036708,1757259.6666666667,2949656.6519826227,5162649.0,95.0,5271779.0,2635889.5,3573377.5537550603,5162649.0,109130.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,0.5690678611527531,0.1896892870509177,0.0,0.0,BENIGN
6,153756,10,5,0.0,0.0,901.0,0.0,114.0,280.17930766643786,805.0,0.0,188.6,349.7210316809671,13547.438799136293,97.55716850074144,10982.57142857143,17232.189310055248,42224.0,4.0,153756.0,17084.0,22016.9087975583,52270.0,4.0,97563.0,24390.75,22055.660488485337,43481.0,280.0,0,0,0,0,332,168,65.03811233382763,32.51905616691381,0.0,0.0,BENIGN
6,312614,15,10,0.0,0.0,469.0,0.0,64.93333333333332,134.2659762596332,1581.0,0.0,738.7,750.4129307698972,26745.443262297915,79.97082664244084,13025.583333333334,23416.544155076917,75965.0,1.0,312614.0,22329.571428571428,27652.577820338734,76628.0,1.0,236590.0,26287.777777777777,40432.70275957872,98944.0,1.0,0,0,0,0,492,328,47.9824959854645,31.98833065697633,0.0,0.0,BENIGN
17,202,2,2,0.0,0.0,29.0,29.0,29.0,0.0,93.0,93.0,93.0,0.0,1207920.792,19801.9802,67.33333333,74.89548273,150.0,4.0,4.0,4.0,0.0,4.0,4.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,64,64,9900.990099,9900.990099,0.0,0.0,BENIGN
17,64933,1,1,0.0,0.0,55.0,55.0,55.0,0.0,183.0,183.0,183.0,0.0,3665.316557,30.80097947,64933.0,0.0,64933.0,64933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,15.40048974,15.40048974,0.0,0.0,BENIGN
6,82,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.4878,27.33333333,43.89001405,78.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.414213562,3.0,1.0,0,0,0,0,32,60,12195.12195,36585.36585,0.0,0.0,BENIGN
6,198,2,1,0.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,70707.07071,15151.51515,99.0,36.76955262,125.0,73.0,198.0,198.0,0.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,10101.0101,5050.505051,0.0,0.0,FTP-Patator
6,217,2,1,0.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,64516.12903,13824.88479,108.5,26.1629509,127.0,90.0,217.0,217.0,0.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9216.589862,4608.294931,0.0,0.0,FTP-Patator
6,9463259,9,15,0.0,0.0,20.0,0.0,11.33333333,8.888194417,34.0,0.0,12.53333333,14.54975045,30.64483388,2.536124183,411446.0435,1082243.86,3805227.0,1.0,6465158.0,808144.75,1526775.546,3853527.0,2.0,9463165.0,675940.3571,1337760.484,3805227.0,1.0,0,0,0,0,296,488,0.951046569,1.585077614,0.0,0.0,FTP-Patator
6,14201661,21,32,0.0,0.0,640.0,0.0,95.61904762,140.0451628,976.0,0.0,85.78125,220.240592,334.6791618,3.731957832,273108.8654,737057.7048,2501407.0,40.0,11800000.0,592133.6,1038610.726,2566372.0,849.0,14200000.0,458114.0,914370.1272,2501407.0,48.0,0,0,0,0,680,1032,1.478700273,2.253257559,0.0,0.0,SSH-Patator
