Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Label
6,556507,3,4,441,870,435,0,147.0,249.43336,858,0,217.5,427.00937,2355.76551597734,12.5784581326021,92751.164,204388.61,509322,4,532690,266345.0,343621.38,509322,23368,533180,177726.67,307268.88,532530,4,0,0,0,0,72,92,5.3907676,7.1876903,0,858,Benign
17,31041,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,8053.8642440643,128.861827905029,10347.0,17918.066,31037,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,64.430916,64.430916,34,91,Benign
17,61725,2,2,82,146,41,41,41.0,0.0,73,73,73.0,0.0,3693.80315917375,64.8035641960308,20575.0,35630.016,61717,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,40,32.401783,32.401783,41,73,Benign
17,153,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,1254901.96078431,26143.7908496732,51.0,74.64583,137,3,3,3.0,0.0,3,3,13,13.0,0.0,13,13,0,0,0,0,64,64,13071.8955,13071.8955,40,56,Benign
17,46593,1,1,42,233,42,42,42.0,0.0,233,233,233.0,0.0,5902.17414633099,42.9249028824072,46593.0,0.0,46593,46593,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21.462452,21.462452,42,233,Benign
17,162,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,567901.2346,24691.35802,54.0,91.79869,160,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12345.679,12345.679,23,23,Benign
17,77111760,2,2,141,276,77,64,70.5,9.192389,159,117,138.0,29.698484,5.407735474,0.051872762,25700000.0,44400000.0,76900000,66495,77000000,77000000.0,0.0,77000000,77000000,77000000,77000000.0,0.0,77000000,77000000,0,0,0,0,52,40,0.025936382,0.025936382,64,159,Benign
6,41,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,292682.9268,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,24390.244,24390.244,6,6,Benign
6,50278,3,2,746,12,709,0,248.66667,399.0894,6,6,6.0,0.0,15076.17646,99.44707427,12569.5,24928.492,49962,17,50278,25139.0,35206.848,50034,244,50189,50189.0,0.0,50189,50189,1,0,0,0,96,40,59.668243,39.77883,0,709,Benign
17,24011,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,6996.793136,166.5903128,8003.6665,13857.562,24005,2,4,4.0,0.0,4,4,2,2.0,0.0,2,2,0,0,0,0,40,64,83.29516,83.29516,34,50,Benign
