Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean
120000,10,8,5000,3200,520,40,500,120,420,32,400,95,68333.33,150,6666.67,1200,8000,5000,108000,12000,2500,15000,9000,96000,12000,2200,14000,10000,0,0,0,0,200,160,83.33,66.67,32,520,455.56
85000,15,12,7500,4800,680,50,500,150,520,40,400,110,145882.35,317.65,5666.67,1100,7500,4000,76500,5100,1800,8000,3000,68000,5666.67,1900,7000,4500,1,0,0,0,300,240,176.47,141.18,40,680,456.30
95000,8,6,4000,2400,450,35,500,100,380,30,400,85,67368.42,147.37,11875,2000,14000,9500,85500,12214.29,2800,15000,10000,76000,12666.67,2500,13500,11000,0,1,0,0,160,120,84.21,63.16,30,450,457.14
150000,20,15,10000,6000,750,60,500,180,600,45,400,130,106666.67,233.33,4285.71,900,6000,2500,135000,6750,1500,8500,4000,120000,8000,1700,9000,6500,2,1,0,0,400,300,133.33,100,45,750,457.14
75000,12,9,6000,3600,580,45,500,140,480,38,400,105,128000,280,6250,1050,7800,4500,67500,5625,1600,7500,4000,60000,6666.67,1800,7200,5500,0,0,0,0,240,180,160,120,38,580,457.14
200000,25,20,12500,8000,820,70,500,200,680,50,400,150,102500,225,4444.44,850,6500,2000,180000,7200,1400,9000,4500,160000,8000,1600,8800,6000,3,2,0,0,500,400,125,100,50,820,456.52
110000,18,14,9000,5600,720,55,500,170,590,42,400,125,133636.36,290.91,6111.11,1000,7200,4800,99000,5500,1550,8000,4200,88000,6285.71,1700,7800,5000,1,1,0,0,360,280,163.64,127.27,42,720,456.25
65000,10,7,5000,2800,500,40,500,115,420,35,400,95,120000,261.54,6500,1100,8000,5000,58500,6500,1700,8200,5200,52000,7428.57,1900,8000,6000,0,0,0,0,200,140,153.85,107.69,35,500,458.82
180000,22,18,11000,7200,780,65,500,190,650,48,400,140,100000,222.22,4500,880,6200,2200,162000,7363.64,1450,8700,4300,144000,8000,1650,8500,6200,2,2,0,0,440,360,122.22,100,48,780,455
90000,14,11,7000,4400,640,50,500,155,540,40,400,115,126666.67,277.78,6428.57,1050,7600,4600,81000,5785.71,1650,7800,4800,72000,6545.45,1750,7500,5200,1,0,0,0,280,220,155.56,122.22,40,640,456
